sentence_id,word,word_pos_tag,parse_tree,HEPW,HBCW,LCA,DIST
0,a,DT,(ROOT (S (NP (DT A) (NNP Cape) (NNP Cod) (NN attorney)) (VP (VBZ is) (ADJP (JJ free) (PP (IN on) (NP (NN bail)))) (PP (IN after) (S (VP (VBG facing) (NP (NN drug) (NN conspiracy) (NNS charges)) (PP (IN in) (NP (JJ federal) (NN court))) (PP (IN in) (NP (NNP Boston))) (NP (NN today)))))) (. .))),NONE,NP,S,3.0
0,Cape,NP,(ROOT (S (NP (DT A) (NNP Cape) (NNP Cod) (NN attorney)) (VP (VBZ is) (ADJP (JJ free) (PP (IN on) (NP (NN bail)))) (PP (IN after) (S (VP (VBG facing) (NP (NN drug) (NN conspiracy) (NNS charges)) (PP (IN in) (NP (JJ federal) (NN court))) (PP (IN in) (NP (NNP Boston))) (NP (NN today)))))) (. .))),NONE,NONE,NP,2.0
0,Cod,NP,(ROOT (S (NP (DT A) (NNP Cape) (NNP Cod) (NN attorney)) (VP (VBZ is) (ADJP (JJ free) (PP (IN on) (NP (NN bail)))) (PP (IN after) (S (VP (VBG facing) (NP (NN drug) (NN conspiracy) (NNS charges)) (PP (IN in) (NP (JJ federal) (NN court))) (PP (IN in) (NP (NNP Boston))) (NP (NN today)))))) (. .))),NONE,NONE,NP,2.0
0,attorney,NN,(ROOT (S (NP (DT A) (NNP Cape) (NNP Cod) (NN attorney)) (VP (VBZ is) (ADJP (JJ free) (PP (IN on) (NP (NN bail)))) (PP (IN after) (S (VP (VBG facing) (NP (NN drug) (NN conspiracy) (NNS charges)) (PP (IN in) (NP (JJ federal) (NN court))) (PP (IN in) (NP (NNP Boston))) (NP (NN today)))))) (. .))),NONE,NONE,NP,2.0
0,is,VBZ,(ROOT (S (NP (DT A) (NNP Cape) (NNP Cod) (NN attorney)) (VP (VBZ is) (ADJP (JJ free) (PP (IN on) (NP (NN bail)))) (PP (IN after) (S (VP (VBG facing) (NP (NN drug) (NN conspiracy) (NNS charges)) (PP (IN in) (NP (JJ federal) (NN court))) (PP (IN in) (NP (NNP Boston))) (NP (NN today)))))) (. .))),NP,VP,S,4.0
0,free,JJ,(ROOT (S (NP (DT A) (NNP Cape) (NNP Cod) (NN attorney)) (VP (VBZ is) (ADJP (JJ free) (PP (IN on) (NP (NN bail)))) (PP (IN after) (S (VP (VBG facing) (NP (NN drug) (NN conspiracy) (NNS charges)) (PP (IN in) (NP (JJ federal) (NN court))) (PP (IN in) (NP (NNP Boston))) (NP (NN today)))))) (. .))),NONE,ADJP,VP,3.0
0,on,IN,(ROOT (S (NP (DT A) (NNP Cape) (NNP Cod) (NN attorney)) (VP (VBZ is) (ADJP (JJ free) (PP (IN on) (NP (NN bail)))) (PP (IN after) (S (VP (VBG facing) (NP (NN drug) (NN conspiracy) (NNS charges)) (PP (IN in) (NP (JJ federal) (NN court))) (PP (IN in) (NP (NNP Boston))) (NP (NN today)))))) (. .))),NONE,PP,ADJP,3.0
0,bail,NN,(ROOT (S (NP (DT A) (NNP Cape) (NNP Cod) (NN attorney)) (VP (VBZ is) (ADJP (JJ free) (PP (IN on) (NP (NN bail)))) (PP (IN after) (S (VP (VBG facing) (NP (NN drug) (NN conspiracy) (NNS charges)) (PP (IN in) (NP (JJ federal) (NN court))) (PP (IN in) (NP (NNP Boston))) (NP (NN today)))))) (. .))),NONE,NONE,PP,3.0
0,after,IN,(ROOT (S (NP (DT A) (NNP Cape) (NNP Cod) (NN attorney)) (VP (VBZ is) (ADJP (JJ free) (PP (IN on) (NP (NN bail)))) (PP (IN after) (S (VP (VBG facing) (NP (NN drug) (NN conspiracy) (NNS charges)) (PP (IN in) (NP (JJ federal) (NN court))) (PP (IN in) (NP (NNP Boston))) (NP (NN today)))))) (. .))),ADJP,PP,VP,6.0
0,facing,VBG,(ROOT (S (NP (DT A) (NNP Cape) (NNP Cod) (NN attorney)) (VP (VBZ is) (ADJP (JJ free) (PP (IN on) (NP (NN bail)))) (PP (IN after) (S (VP (VBG facing) (NP (NN drug) (NN conspiracy) (NNS charges)) (PP (IN in) (NP (JJ federal) (NN court))) (PP (IN in) (NP (NNP Boston))) (NP (NN today)))))) (. .))),NONE,VP,PP,4.0
0,drug,NN,(ROOT (S (NP (DT A) (NNP Cape) (NNP Cod) (NN attorney)) (VP (VBZ is) (ADJP (JJ free) (PP (IN on) (NP (NN bail)))) (PP (IN after) (S (VP (VBG facing) (NP (NN drug) (NN conspiracy) (NNS charges)) (PP (IN in) (NP (JJ federal) (NN court))) (PP (IN in) (NP (NNP Boston))) (NP (NN today)))))) (. .))),NONE,NP,VP,3.0
0,conspiracy,NN,(ROOT (S (NP (DT A) (NNP Cape) (NNP Cod) (NN attorney)) (VP (VBZ is) (ADJP (JJ free) (PP (IN on) (NP (NN bail)))) (PP (IN after) (S (VP (VBG facing) (NP (NN drug) (NN conspiracy) (NNS charges)) (PP (IN in) (NP (JJ federal) (NN court))) (PP (IN in) (NP (NNP Boston))) (NP (NN today)))))) (. .))),NONE,NONE,NP,2.0
0,charges,NNS,(ROOT (S (NP (DT A) (NNP Cape) (NNP Cod) (NN attorney)) (VP (VBZ is) (ADJP (JJ free) (PP (IN on) (NP (NN bail)))) (PP (IN after) (S (VP (VBG facing) (NP (NN drug) (NN conspiracy) (NNS charges)) (PP (IN in) (NP (JJ federal) (NN court))) (PP (IN in) (NP (NNP Boston))) (NP (NN today)))))) (. .))),NONE,NONE,NP,2.0
0,in,IN,(ROOT (S (NP (DT A) (NNP Cape) (NNP Cod) (NN attorney)) (VP (VBZ is) (ADJP (JJ free) (PP (IN on) (NP (NN bail)))) (PP (IN after) (S (VP (VBG facing) (NP (NN drug) (NN conspiracy) (NNS charges)) (PP (IN in) (NP (JJ federal) (NN court))) (PP (IN in) (NP (NNP Boston))) (NP (NN today)))))) (. .))),NP,PP,VP,4.0
0,federal,JJ,(ROOT (S (NP (DT A) (NNP Cape) (NNP Cod) (NN attorney)) (VP (VBZ is) (ADJP (JJ free) (PP (IN on) (NP (NN bail)))) (PP (IN after) (S (VP (VBG facing) (NP (NN drug) (NN conspiracy) (NNS charges)) (PP (IN in) (NP (JJ federal) (NN court))) (PP (IN in) (NP (NNP Boston))) (NP (NN today)))))) (. .))),NONE,NP,PP,3.0
0,court,NN,(ROOT (S (NP (DT A) (NNP Cape) (NNP Cod) (NN attorney)) (VP (VBZ is) (ADJP (JJ free) (PP (IN on) (NP (NN bail)))) (PP (IN after) (S (VP (VBG facing) (NP (NN drug) (NN conspiracy) (NNS charges)) (PP (IN in) (NP (JJ federal) (NN court))) (PP (IN in) (NP (NNP Boston))) (NP (NN today)))))) (. .))),NONE,NONE,NP,2.0
0,in,IN,(ROOT (S (NP (DT A) (NNP Cape) (NNP Cod) (NN attorney)) (VP (VBZ is) (ADJP (JJ free) (PP (IN on) (NP (NN bail)))) (PP (IN after) (S (VP (VBG facing) (NP (NN drug) (NN conspiracy) (NNS charges)) (PP (IN in) (NP (JJ federal) (NN court))) (PP (IN in) (NP (NNP Boston))) (NP (NN today)))))) (. .))),PP,PP,VP,5.0
0,Boston,NP,(ROOT (S (NP (DT A) (NNP Cape) (NNP Cod) (NN attorney)) (VP (VBZ is) (ADJP (JJ free) (PP (IN on) (NP (NN bail)))) (PP (IN after) (S (VP (VBG facing) (NP (NN drug) (NN conspiracy) (NNS charges)) (PP (IN in) (NP (JJ federal) (NN court))) (PP (IN in) (NP (NNP Boston))) (NP (NN today)))))) (. .))),NONE,NONE,PP,3.0
0,today,NN,(ROOT (S (NP (DT A) (NNP Cape) (NNP Cod) (NN attorney)) (VP (VBZ is) (ADJP (JJ free) (PP (IN on) (NP (NN bail)))) (PP (IN after) (S (VP (VBG facing) (NP (NN drug) (NN conspiracy) (NNS charges)) (PP (IN in) (NP (JJ federal) (NN court))) (PP (IN in) (NP (NNP Boston))) (NP (NN today)))))) (. .))),PP,NONE,VP,5.0
1,Barry,NP,(ROOT (S (NP (NP (NNP Barry) (NNP Cane)) (PP (IN of) (NP (NNP Hyannis)))) (VP (VBZ is) (VP (VBN accused) (PP (IN of) (S (VP (VBG trying) (S (VP (TO to) (VP (VB import) (NP (NP (QP (JJR more) (IN than) (CD five)) (NNS kilos)) (PP (IN of) (NP (NN cocaine)))))))))))) (. .))),NONE,NP,S,4.0
